0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:05 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 8640
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:05 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:07 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:07 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:09 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:09 +0200] "GET /Projekt/index.jsp?isSuccess=1 HTTP/1.1" 200 6284
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:09 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:10 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 9466
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:10 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:12 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 9466
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:12 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:13 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:13 +0200] "GET /Projekt/buchung_bearbeiten.jsp?uid=14&buchungid=294 HTTP/1.1" 200 6348
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:13 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:15 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:16 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:16 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:20 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:20 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:42 +0200] "GET /Projekt/indinimi HTTP/1.1" 404 963
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:42 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:45 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:45 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
